,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM3_6,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
Seg_size,8950,4805,1526,2619,1806,1354,2341,3449,1637,3181,2075,1284,773,927,1211,713,3143,1465,1491,2349,1017,1473,819,1116,1467,709,1098,1290,1439,539,992,2348,549,695
Seg_Pct,1,0.536871508,0.170502793,0.292625698,0.201787709,0.151284916,0.261564246,0.385363128,0.182905028,0.355418994,0.231843575,0.143463687,0.086368715,0.103575419,0.135307263,0.079664804,0.351173184,0.163687151,0.166592179,0.262458101,0.113631285,0.164581006,0.09150838,0.124692737,0.163910615,0.079217877,0.122681564,0.144134078,0.160782123,0.060223464,0.110837989,0.262346369,0.061340782,0.077653631
BALANCE,1452.399593,669.478794,2113.992947,2503.313293,1328.153843,2325.224618,2304.000217,596.7851199,1362.645614,616.9339473,2451.066632,2308.249119,978.1416187,4623.507362,2127.473246,764.7567851,597.2251052,979.8503167,1528.359574,252.7562027,1983.464601,1002.051054,4605.450984,2121.128025,1526.298075,753.0674584,2066.105923,1319.973634,951.726645,4105.502799,1950.939835,253.3938377,4413.410613,707.8589087
BALANCE_FREQUENCY,0.883252012,0.838915533,0.980176993,0.908119999,0.83875599,0.983064593,0.899444668,0.856376562,0.846937296,0.859032339,0.921351836,0.983263329,0.791425758,0.97957547,0.98332959,0.790347523,0.85767508,0.830660866,0.892098043,0.812659177,0.992241001,0.831759542,0.972883963,0.981910514,0.892644234,0.789513408,0.981765757,0.887378433,0.829186926,0.952464096,0.992320388,0.81257939,0.976232279,0.787857036
PURCHASES,823.8630219,581.5757375,2789.725791,122.940462,593.8013984,2893.616743,67.96304998,644.8565236,584.4271142,668.8257403,76.40641446,2963.309191,421.6039696,501.4001586,3032.047063,414.7565344,664.3076169,582.4756703,0,692.8142103,691.9292429,586.4759447,451.2908144,3148.794609,0,415.9667123,3151.961107,0,583.0778224,0,686.6104133,690.6091993,883.7941239,411.2242583
ONEOFF_PURCHASES,447.9487298,307.1649906,1544.481594,67.32891943,578.0131096,1603.970939,23.05692866,214.408969,570.0152498,224.6588538,26.93536867,1651.199805,239.7864347,273.97389,1696.573805,231.818648,223.3037429,568.9324901,0,226.3815811,266.8409636,572.1050794,260.5752576,1778.301903,0,233.1265106,1774.681144,0,568.5652842,0,264.7199496,225.4404489,529.7958033,229.6137151
INSTALLMENTS_PURCHASES,336.3360402,268.1928345,1032.73992,55.58605288,0,1070.894913,44.92597074,421.8742099,0,434.6390097,49.46938554,1084.69822,171.0470634,216.6715615,1097.739178,171.8624965,431.8972057,0,0,454.8790304,417.5302188,0,178.9105769,1118.957681,0,171.7686178,1126.364913,0,0,0,414.406628,453.6513054,323.309918,172.2260432
CASH_ADVANCE,817.1611457,228.8659875,582.1013746,2033.449594,742.7234028,671.5406127,1886.580275,187.440816,719.4673664,174.7861701,1853.408445,656.9409789,1151.998225,3531.635473,477.9792603,981.8278754,149.4706567,365.7449892,1177.255083,83.19421244,471.3031826,370.2037317,3923.309314,499.7534146,1120.729625,957.0072173,449.0250033,911.3165937,317.8900784,3547.409572,425.8106177,85.49415096,3701.56246,892.3231986
PURCHASES_FREQUENCY,0.490350548,0.560187958,0.92336243,0.10992104,0.304455689,0.931888135,0.076564261,0.695209326,0.304771211,0.689192463,0.080809051,0.935636363,0.424799277,0.350660302,0.940321063,0.432457311,0.688678549,0.308296536,0.000223563,0.696511091,0.69163911,0.308545661,0.290719751,0.94061721,0.000227221,0.432279982,0.942175874,0.000258398,0.30984893,0,0.691092383,0.69588496,0.520169776,0.43575197
ONEOFF_PURCHASES_FREQUENCY,0.202457684,0.177072323,0.565066555,0.037751887,0.304224976,0.582662883,0.014533257,0.127462472,0.304516679,0.131980104,0.016045996,0.595374811,0.124084159,0.131425797,0.61199205,0.123385969,0.1303946,0.308012121,0,0.131515001,0.153916722,0.308262791,0.122686451,0.6308322,0,0.124082082,0.631597068,0,0.309559376,0,0.15370232,0.130648241,0.231287188,0.124942889
PURCHASES_INSTALLMENTS_FREQUENCY,0.364437342,0.398379669,0.753925841,0.07522301,0,0.770205802,0.063408296,0.60029479,0,0.598599183,0.068188393,0.773006232,0.289184075,0.246712165,0.775885276,0.295071689,0.599012254,0,0.000223563,0.608001494,0.593496924,0,0.191330463,0.774334833,0.000227221,0.294417024,0.777397008,0.000258398,0,0,0.593386495,0.607053738,0.341327947,0.296990413
CASH_ADVANCE_FREQUENCY,0.127637427,0.055207907,0.089239,0.282895098,0.120553884,0.09718599,0.272751627,0.044805237,0.114679442,0.041046727,0.267849983,0.094045571,0.190830344,0.376236697,0.076151666,0.177956927,0.038862678,0.081164522,0.223627882,0.019646002,0.111613145,0.082296464,0.397627934,0.077101638,0.221728796,0.175591539,0.070914036,0.2092952,0.077408528,0.365048679,0.107239698,0.020222228,0.389872616,0.170424173
CASH_ADVANCE_TRX,2.731731844,1.088033299,2.024901704,6.159221077,2.581949059,2.248892171,5.841947886,0.888663381,2.497861943,0.838415593,5.891566265,2.180685358,3.45148771,9.230852211,1.726672172,3.113604488,0.785237035,1.67440273,4.466800805,0.372924649,2.371681416,1.692464358,9.851037851,1.76702509,4.406952965,3.05077574,1.606557377,4.060465116,1.560111188,8.706864564,2.291330645,0.383730835,9.639344262,2.939568345
PURCHASES_TRX,12.68402235,9.587513007,40.80209699,1.981672394,5.584163898,42.5155096,1.248184537,12.45259496,5.701893708,12.97076391,1.46939759,43.29439252,5.54851229,7.729234088,44.15937242,5.500701262,12.9093223,5.720819113,0.002012072,13.10131971,14.40412979,5.749490835,6.523809524,45.14784946,0.00204499,5.497884344,45.33424408,0.002325581,5.732453092,0,14.41834677,13.06686542,12.18032787,5.499280576
CREDIT_LIMIT,4366.50035,3564.746497,6404.816514,4649.798096,4320.894325,6692.762186,4379.609853,3468.244799,4455.883823,3600.605568,4559.935743,6780.062305,2800.651143,7746.067471,6684.971098,2495.586723,3567.555302,4051.929879,3270.165437,3947.393066,3051.032448,4074.729988,7965.390165,6884.453405,3227.277891,2484.701457,6853.369763,2909.392765,4028.545707,7135.80705,2984.173387,3940.130457,7764.307004,2423.673861
PAYMENTS,1479.577413,912.4254228,2981.965381,1644.724903,1249.271593,3152.839854,1532.333445,907.4791521,1298.962411,952.0999304,1639.780548,3219.116299,713.1908658,2776.360188,3191.24745,669.4050349,925.5443698,1106.629191,1204.861021,891.1849193,1208.892604,1108.420812,2933.218066,3319.435324,1166.274623,661.4337779,3319.389754,1049.293328,1092.94271,2550.036711,1170.778429,890.1020082,2902.978567,649.8103722
MINIMUM_PAYMENTS,631.8102321,395.2607104,878.3245276,922.165191,564.4688828,949.2927718,852.1664952,392.8694106,583.2611734,410.1651625,925.3673868,927.2449144,367.9791168,1658.584196,861.7211623,306.5036382,404.8861736,462.0635358,607.399251,223.8243487,1055.676653,469.7114876,1616.281607,834.518589,609.0284407,303.1423159,815.1234254,549.3993055,449.2006424,1393.179563,1049.837375,224.100687,1607.195005,293.0507876
PRC_FULL_PAYMENT,0.153714648,0.192962089,0.226686807,0.039190226,0.091405641,0.223079797,0.040997217,0.235616986,0.09365638,0.227232848,0.036444023,0.229206093,0.167763194,0.021524361,0.244740025,0.175940021,0.227847788,0.102153337,0.045732649,0.304562839,0.009909235,0.101598532,0.025268228,0.258193375,0.045413408,0.176496066,0.262957322,0.045053616,0.102979828,0.032183328,0.009479284,0.304444112,0.02578824,0.179811574
TENURE,11.58413408,11.5723205,11.89973788,11.42191676,11.52713178,11.91063516,11.40965399,11.60423311,11.87721442,11.91386356,11.85975904,11.93613707,8.282018111,11.69471413,11.9430223,8.227208976,11.91059497,11.88327645,11.84708249,11.90804598,11.92723697,11.88255261,11.63736264,11.93817204,11.85276074,8.22425952,11.94990893,11.85891473,11.88325226,11.62337662,11.92641129,11.90800681,11.63934426,8.220143885
Monthly_avg_purchase,71.03092943,51.36721943,235.8677427,11.06267797,52.96031358,244.6080295,6.249792619,56.32080475,49.27810162,56.1604866,6.409049135,249.9277908,54.60025587,43.23742883,255.6453299,54.27539118,55.81921651,49.0928846,0,58.17771127,58.11796338,49.44065567,39.18987031,265.6105496,0,54.46747943,265.7487529,0,49.1524852,0,57.68196547,57.99414911,76.87571128,54.11327212
Monthly_cash_advance,73.6365779,21.00511074,50.24629798,183.8266378,67.39984093,58.01643901,170.990188,16.95592082,62.31555199,14.69607798,160.2525319,56.72915063,135.7365543,310.8798404,40.98153007,121.4135085,12.54895088,31.09743143,100.3797491,6.974711051,39.60380667,31.47314857,346.6232534,42.91089321,95.23902461,119.2356929,38.38055248,76.89735801,26.93375148,312.3284623,35.80570339,7.166390422,326.9301139,113.344819
limit_usage,0.38397864,0.272360463,0.377672373,0.592435572,0.380807964,0.391181778,0.581525808,0.248726471,0.380020878,0.252868742,0.602482141,0.381823724,0.348935418,0.684491539,0.359472017,0.333452006,0.251804847,0.346275664,0.556872432,0.077464269,0.75704803,0.348257238,0.659914069,0.336049438,0.560269941,0.330504518,0.329762407,0.553460963,0.342279182,0.64829828,0.76089029,0.077852821,0.64589041,0.325751252
Purchase_type_Installment_Purchases,0.252513966,0.403746098,0.089777195,0.069873998,0,0.079763663,0.064075182,0.580458104,0,0.568689091,0.065542169,0.068535826,0.293661061,0.181229773,0.065235343,0.304347826,0.571428571,0,0,0.593869732,0.472959685,0,0.135531136,0.051075269,0,0.304654443,0.051912568,0,0,0,0.475806452,0.594974446,0.216757741,0.309352518
Purchase_type_None,0.228156425,0.000208117,0,0.779305078,0,0,0.872276805,0,0,0,0.864096386,0,0.322121604,0.352750809,0,0.314165498,0,0,1,0,0,0,0.432234432,0,1,0.311706629,0,1,0,1,0,0,0,0.30647482
Purchase_type_One_Of,0.209385475,0.330280957,0.064220183,0.072164948,1,0.050221566,0,0,1,0,0,0.049844237,0.223803364,0.195253506,0.052848885,0.230014025,0,1,0,0,0,1,0.213675214,0.055555556,0,0.231311707,0.055555556,0,1,0,0,0,0.387978142,0.231654676
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
