,PC1,PC2,PC3,PC4,PC5,PC6,,,
Purchase_type_One_Of,-0.114720749,-0.03867805,-0.694095354,-0.142511034,-0.051700703,0.570998496,,,
Purchase_type_Installment_Purchases,0.114007308,-0.414499643,0.668544944,0.101166613,-0.164436218,0.317111347,,,
PURCHASES_FREQUENCY,0.831780655,0.037967201,0.33163204,-0.016114065,0.1389967,0.239757052,,,Important Variables
Monthly_cash_advance,-0.485025562,0.689742168,0.120862006,0.390878331,0.061811764,0.147973521,,,Purchase_type_One_Of
MINIMUM_PAYMENTS,-0.124692411,0.662685894,0.23312846,-0.37747086,-0.254717171,0.14457927,,,CASH_ADVANCE
CASH_ADVANCE,-0.479328623,0.706654186,0.124213657,0.370674077,0.002234051,0.133622087,,,BALANCE
CASH_ADVANCE_TRX,-0.488546036,0.66252386,0.123652648,0.241128616,0.187729656,0.099522924,,,limit_usage
BALANCE,-0.192880862,0.812304409,0.122050863,-0.269054146,-0.221071675,0.097726702,,,PURCHASES_TRX
PURCHASES_INSTALLMENTS_FREQUENCY,0.705267546,-0.008423733,0.630346055,0.02532045,0.073536685,0.069602527,,,PURCHASES
CREDIT_LIMIT,0.20822352,0.541538788,-0.122670482,0.23508485,-0.526062057,0.06116174,,,TENURE
ONEOFF_PURCHASES_FREQUENCY,0.628204318,0.330925996,-0.483414104,-0.055010076,0.172743092,0.060790529,,,Purchase_type_None
CASH_ADVANCE_FREQUENCY,-0.534348323,0.641143082,0.103946546,0.204401957,0.248734135,0.051406712,,,
limit_usage,-0.363087712,0.492826752,0.162990987,-0.632777813,0.192865421,-0.027420204,,,
PURCHASES_TRX,0.838768048,0.330163063,0.093959223,-0.02963464,0.112159728,-0.058451121,,,
ONEOFF_PURCHASES,0.6720335,0.417106131,-0.471746835,-0.007911656,0.102540785,-0.061432659,,,
BALANCE_FREQUENCY,0.11616076,0.43133027,0.200015174,-0.474324136,0.23067157,-0.071757452,,,
PRC_FULL_PAYMENT,0.400090399,-0.240916808,0.021583381,0.497345328,-0.046517292,-0.074088239,,,
Monthly_avg_purchase,0.836888631,0.408532531,-0.157707375,0.043455607,0.10293169,-0.089843221,,,
PURCHASES,0.842816012,0.413888793,-0.154952249,0.030304487,0.059839379,-0.111618097,,,
PAYMENTS,0.282010596,0.633796993,-0.087577646,0.296722189,-0.226293205,-0.128770653,,,
INSTALLMENTS_PURCHASES,0.733179638,0.218388617,0.391476603,0.067886374,-0.002699822,-0.129019828,,,
TENURE,0.165372873,0.068331564,0.002194873,-0.283173681,-0.642566435,-0.216334124,,,
Purchase_type_None,-0.650514283,0.149929178,-0.007868948,0.066723406,0.058456651,-0.665601333,,,
